Title,WorkoutType,WorkoutDescription,PlannedDuration,PlannedDistanceInMeters,WorkoutDay,CoachComments,DistanceInMeters,PowerAverage,PowerMax,Energy,AthleteComments,TimeTotalInHours,VelocityAverage,VelocityMax,CadenceAverage,CadenceMax,HeartRateAverage,HeartRateMax,TorqueAverage,TorqueMax,IF,TSS,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,HRZone8Minutes,HRZone9Minutes,HRZone10Minutes,PWRZone1Minutes,PWRZone2Minutes,PWRZone3Minutes,PWRZone4Minutes,PWRZone5Minutes,PWRZone6Minutes,PWRZone7Minutes,PWRZone8Minutes,PWRZone9Minutes,PWRZone10Minutes,Rpe,Feeling
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-07-17,,6494.52978515625,,,,,0.67768669128418,2.66199994087219,,163,,140,162,,,0.708506409491666,37.31,16,16,7,1,0,0,0,,,,,,,,,,,,,,,
RCV12 (Critical Velocity Run),Run,5:00 in Zone 1 15:00 in Zone 2 7 x 4:00 @ CV/2:00 in Zone 1 20:00 in Zone 1,1.36666666666667,,2023-07-18,Today's Critical Velocity Run is a more challenging version of the one you did in Week 4.,16415.3088,,,223,,1.36694444444444,3.33576687665109,,,,,177,,,0.89,121,,,,,,,,,,,,,,,,,,,,,,5
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-07-18,The duration of your second runs increases from 35 to 40 minutes this week.,,,,,,0.667222222222222,2.50789024292113,,176,,151,135,,,0.891880313256791,34,9,23,26,17,5,3,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-07-19,Be sure to track the mileage you put on your running shoes and replace them at the manufacturer's recommended frequency.,3644.82006835938,,,,,0.362827777862549,2.78999996185303,,165,,137,162,,,0.760857254556061,22.74,12,7,3,1,0,0,0,,,,,,,,,,,,,,,
RF32 (Foundation Run),Run,5:00 in Zone 1 1:10:00 in Zone 2,1.25,,2023-07-20,"If you haven't updated your zones in a while, consider performing a Talk Test today or else soon.",14021.169921875,,,,,1.2505407333374,3.11400008201599,,168,,151,168,,,0.844764902011589,99.46,6,20,28,21,0,0,0,,,,,,,,,,,,,,,
LIR9 (Lactate Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 12 x 0:30 in Zone 4/0:15 in Zone 1 3:00 in Zone 1 12 x 0:30 in Zone 4/0:15 in Zone 1 3:00 in Zone 1 12 x 0:30 in Zone 4/0:15 in Zone 1 20:00 in Zone 1,1.21666666666667,,2023-07-21,Today's Lactate Intervals Run is a more challenging version of the one you did in Week 4.,14488.0703125,,,,,1.21729481220245,3.30599999427795,,172,,152,180,,,0.876299674034141,104.08,9,24,11,16,9,3,0,,,,,,,,,,,,,,,3
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-07-21,"It's not your LOCATION on the fitness spectrum that matters but your direction. In other words, it doesn't matter how fit you are today; what matters is whether you're getting fitter.",554.359985351563,,,,,0.105855278670788,1.45500004291534,,97,,114,150,,,0.419361488506236,1.96,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-07-22,"Pressure is a double-edged sword. The right kind of pressure can enhance athletic performance, while the wrong kind can hurt it. Think about the performance pressure you're feeling (if any) with regard to your upcoming race, and make sure it's the right kind.",10374.0400390625,,,,,1.02110552787781,2.82200002670288,,168,,151,174,,,0.799151539733931,72.3,6,20,15,16,4,0,0,,,,,,,,,,,,,,,
RP14 (Progression Run),Run,5:00 in Zone 1 35:00 in Zone 2 16:00 @ SSP 8:00 @ LTP 4:00 @ CV 5:00 in Zone 1,1.21666666666667,,2023-07-23,Today's Progression Run is slightly more challenging than the one you did in Week 6.,13631.14368,,,7,,1.2175,3.1100031211499,,,,149,175,,,0.84,96,,,,,,,,,,,,,,,,,,,,,,5
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-07-24,The best runners are masters of the art about pacing. A fun game you can play to improve your pacing skill is to set your device to autosplit every 1 km or mile and guess your time before you check it.,11243.75,,,,,1.00061941146851,3.12100005149841,,168,,149,165,,,0.843676919837057,78.99,3,25,21,10,0,0,0,,,,,,,,,,,,,,,
RL39 (Long Run),Run,1 km (0.6 mile) Zone 1 38 km (22 miles) in Zone 2,3.59805555555556,39000,2023-07-25,Be sure to use these Long Runs as opportunities to practice your nutrition plan for your upcoming marathon.,39017.55859375,,,,*07/26/2023 Joseph Platta: Pretty hot*,3.89685678482056,2.78099989891052,,166,,155,173,,,0.752016630880963,252.62,6,29,95,99,4,0,0,,,,,,,,,,,,,,8,7
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-07-27,"A lot of runners conflate rest and recovery. Rest is not exercising. Recovery is the process of overcoming fatigue. Although recovery is the objective of rest, you can also recover by doing less exercise than normal rather than none at all. This phenomenon is known as relative rest and it's what you're doing in the present recovery week.",10049.009765625,,,,,1.00600111484528,2.77500009536743,,167,,144,164,,,0.777402828912799,67.37,21,18,12,10,0,0,0,,,,,,,,,,,,,,,
RLS36 (Speed Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 12 x 1:00 in Zone 5/2:00 in Zone 1 20:00 in Zone 1,1.26666666666667,,2023-07-28,"Speed Intervals Runs will not make you a faster sprinter, but they will improve your running economy and your ability to resist fatigue at faster speeds. This particular Speed Intervals Run features 60-second segments in Zone 5. Because these segments are so short, you won't be able to effectively use pace, heart rate, or power to regulate your intensity in them. Instead, rely on perceived effort, aiming to complete the complete each interval at a pace you could sustain for about 4 minutes.",14956.83984375,,,,,1.267054438591,3.27900004386902,,173,,154,181,,,0.853569321182381,102.79,9,22,11,14,11,7,1,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-07-29,"""Our patience will achieve more than our force."" --Edmund Burke",6603.39013671875,,,,,0.671243071556091,2.73300004005432,,170,,137,156,,,0.741933458160581,40.54,24,10,6,0,0,0,0,,,,,,,,,,,,,,,
RFF43 (Zone 3 Fast Finish Run),Run,5:00 in Zone 1 1:45:00 in Zone 2 10:00 in Zone 3,2,,2023-07-31,Today's Fast Finish Run marks the end of another three-week step cycle.,23109.0390625,,,,,2.00026988983154,3.20900011062622,,172,,148,178,,,0.856889449945379,165.57,10,64,26,17,2,2,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-07-31,,2158.7900390625,,,,,0.207821667194366,2.88499999046326,,171,,162,173,,,0.811965011287857,14.59,0,0,2,6,4,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-01,"Don't let a single bad workout negatively impact your confidence. It's our best workouts that tell us how fit we truly are, not our worst ones.",10315.6298828125,,,,,1.00049138069153,2.86400008201599,,168,,143,164,,,0.78510360271756,68.34,16,28,13,3,0,0,0,,,,,,,,,,,,,,,
OUR12 (Over/Under Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 4 x (3:00 in Zone 3/4:00 in Zone Y/2:00 in Zone 1) 20:00 in Zone 1,1.26666666666667,,2023-08-02,"Over/Under Intervals Runs feature intervals in which the intensity fluctuates between slightly above and slightly below the lactate threshold (LT). The harder segments target Zone Y, which occupies the small space between Zone 3 and Zone 4, while the easier segments target Zone 3, whose upper limit aligns with LT. Like Tempo Runs and other runs that directly target LT, Over/Under Intervals develop the ability to run relaxed and efficiently at moderate speeds, but their variable-pace format offers the additional benefit of teaching the body to recover from a harder effort while still running somewhat aggressively. In doing this or any Over/Under Intervals Run, focus on oscillating gently around the high end of Zone 3, going from just below it in the Zone 3 segments to just above it in the Zone Y segments.",15156.080078125,,,,,1.26732552051544,3.32200002670288,,173,,147,170,,,0.886863076470112,111.09,19,19,14,22,0,0,0,,,,,,,,,,,,,,,
RF32 (Foundation Run),Run,5:00 in Zone 1 1:10:00 in Zone 2,1.25,,2023-08-03,Your Foundation Runs have reached their peak duration. They won't get any longer from here.,10120.2197265625,,,,,1.00114417076111,2.80800008773804,,165,,141,165,,,0.758433549395266,63.81,22,23,12,3,0,0,0,,,,,,,,,,,,,,,7
RDI9 (Descending Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 3:00 @ MAS/2:00 in Zone 1 2:00 @ MAS/1:20 in Zone 1 1:00 @ MAS/0:45 in Zone 1 0:45 @ MAS/0:30 in Zone 1 0:30 @ MAS/0:20 in Zone 1 1:00 @ MAS/0:45 in Zone 1 0:45 @ MAS/0:30 in Zone 1 0:30 @ MAS/0:20 in Zone 1 20:00 in Zone 1,0.933333333333333,,2023-08-04,Today's Descending Intervals Run is a slightly less challenging version of the one you did in Week 7.,10863.990234375,,,,,0.939348101615906,3.21300005912781,,172,,150,177,,,0.875135380957089,79.63,7,21,11,10,5,2,0,,,,,,,,,,,,,,,3
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-05,"Iron deficiency is common among runners. You should have a doctor check your iron level regularly. If you feel sluggish in your training, try eating more iron-rich foods such as shellfish or taking an iron supplement.",12143.8095703125,,,,,1.19823944568634,2.81500005722046,,168,,140,172,,,0.767640001305811,78.64,30,27,10,4,1,0,0,,,,,,,,,,,,,,,
RMP5 (Marathon Pace Run),Run,1 km (0.6 mile) Zone 1 15 km (9.3 miles) in Zone 2 16 km (10 miles) @ MP,2.825,32000,2023-08-06,Use today's Marathon Pace Run to fine-tune your goal time/pace for your upcoming marathon.,32021.810546875,,,,,2.72656488418579,3.26200008392334,,176,,157,180,,,0.87230204271553,235.67,5,34,38,58,20,8,0,,,,,,,,,,,,,,,3
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-08-07,,6084.5498046875,,,,,0.667139410972595,2.53299999237061,,166,,129,152,,,0.699255982889909,35.78,34,5,0,0,0,0,0,,,,,,,,,,,,,,,
RTT5 (10K Relaxed Time Trial),Run,1 km in Zone 1 2 km in Zone 2 10 km @ 95% effort 1:00 rest 3 km in Zone 1,1.31638888888889,16000,2023-08-08,"A Relaxed Time Trial is a time trial that is run at 95% of race effort. These workouts serve to enhance goal-specific fitness and build confidence. To execute this workout, simply add 5% to your 10K race goal time, calculate the corresponding pace, and complete the Relaxed Time Trial segment of the workout at that pace. For example, if your goal time is 40:00 (4:00/km), run the Relaxed Time Trial segment at 4:12/km.",16009.4501953125,,,,,1.24778437614441,3.56399989128113,,182,,157,181,,,0.954321380456055,126.67,9,16,6,17,15,10,1,,,,,,,,,,,,,,,3
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-08-08,"Here's a trick for increasing mental toughness: Make a habit of doing something you don't enjoy precisely BECAUSE you don't enjoy it. Examples include taking one cold shower per week, eating a vegetable you dislike once a week, and incorporating your least favorite strength exercise into your strength workouts. These small measures may seem silly, but they can help cultivate a mindset of embracing unpleasantness that will translate to the race course.",1315,,,,,0.187866106629372,1.94400000572205,,116,,131,153,,,0.546495582127542,5.98,7,2,1,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-09,"While endurance training strengthens the immune system overall, big individual workouts temporarily suppress immune function, opening the door to infection. Be aware of this reality and take appropriate precautions.",10714.830078125,,,,,1.00676083564758,2.95600008964539,,168,,142,165,,,0.770042742820463,66.17,19,24,11,7,0,0,0,,,,,,,,,,,,,,,
RF32 (Foundation Run),Run,5:00 in Zone 1 1:10:00 in Zone 2,1.25,,2023-08-10,"Research has shown that training in hot environments can increase endurance performance by boosting blood volume. You can gain this benefit either by doing some of your easy runs outdoors in the hottest part of the day or by cranking up the heat indoors and running on a treadmill. If you choose to experiment with heat training, be sure to ease into it, however, as it takes time to adapt to it.",12546.5400390625,,,,,1.25018548965454,2.78800010681152,,169,,145,172,,,0.756391150621489,79.69,22,25,13,12,2,0,0,,,,,,,,,,,,,,,
RPI9 (Progression Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 5 x (0:30 in Zone 3/0:20 in Zone 4/0:10 in Zone 5) 5:00 in Zone 1 5 x (0:30 in Zone 3/0:20 in Zone 4/0:10 in Zone 5) 5:00 in Zone 1 5 x (0:30 in Zone 3/0:20 in Zone 4/0:10 in Zone 5) 5:00 in Zone 1 5 x (0:30 in Zone 3/0:20 in Zone 4/0:10 in Zone 5) 20:00 in Zone 1,1.25,,2023-08-11,"This workout format was developed by scientists at the University of Copenhagen in the 2010's and found to improve race performance in trained recreational runners. It features 1-minute intervals in which the first 30 seconds are completed in Zone 3, the next 20 seconds in Zone 4, and the last 10 second in Zone 5. You then return straight back to the top and complete the same sequence four times more for a total of five repetitions before dialing back to Zone 1 for recovery. Because they hit a variety of intensities without focusing on any single intensity, Progression Intervals work well as a general fitness builder during base building and as a fitness maintainer during recovery weeks and taper periods.",14885.1298828125,,,,,1.26722192764282,3.26300001144409,,172,,154,180,,,0.835819453308661,98.65,7,19,21,17,5,6,0,,,,,,,,,,,,,,,5
RHM6 (Half-Marathon Pace Run),Run,1 km in Zone 1 4 km in Zone 2 2 x (5 km @ HMP/0.1 km in Zone 1) 5 km in Zone 1,1.7575,20200,2023-08-13,Today's Half-Marathon Pace Run is slightly more challenging than your previous one.,16156.740234375,,,,,1.45357608795166,3.08800005912781,,173,,144,165,,,0.793989394502805,102.51,16,42,19,11,0,0,0,,,,,,,,,,,,,,,7
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-16,"""I can bear any pain as long as it has meaning."" --Haruki Murakami",642.169982910156,,,,,0.0635988861322403,2.8050000667572,,162,,143,155,,,0.735120916418134,3.59,1,2,1,0,0,0,0,,,,,,,,,,,,,,,
RFR48 (Fartlek Run),Run,5:00 in Zone 1 15:00 in Zone 2 1:00 in Zone 4 1:00 in Zone 2 2:00 in Zone 3 1:00 in Zone 2 3:00 in Zone X 1:00 in Zone 2 2:00 in Zone 3 1:00 in Zone 2 1:00 in Zone 4 1:00 in Zone 2 2:00 in Zone 3 1:00 in Zone 2 3:00 in Zone X 1:00 in Zone 2 2:00 in Zone 3 1:00 in Zone 2 1:00 in Zone 4 1:00 in Zone 2 20:00 in Zone 1,1.1,,2023-08-16,Today's Fartlek Run is identical to the one you did in Week 6.,13553.0302734375,,,,,1.10097002983093,3.41899991035461,,175,,153,176,,,0.891197233722583,97.16,6,17,18,22,3,1,0,,,,,,,,,,,,,,,1
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-17,"Some runners like to pick a theme song for big races. If you're a music lover and you haven't yet picked a theme song for your upcoming marathon, consider doing so.",10310.509765625,,,,,1.04623532295227,2.73699998855591,,167,,145,173,,,0.73873949107923,63.35,18,21,11,10,3,0,0,,,,,,,,,,,,,,,
R5K3 (5K Pace Intervals),Run,1 km in Zone 1 3 km in Zone 2 8 x (0.6 km @ 5KP/0.1 km in Zone 1) 4 km in Zone 1,1.19861111111111,13600,2023-08-18,Today's 5K Pace Intervals are slightly shorter than the ones you did in Week 5.,13607.9404296875,,,,,1.14051711559296,3.31399989128113,,171,,152,183,,,0.861669395286081,94.1,13,18,8,15,5,5,3,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-19,"The most successful athletes are process-focused rather than outcome focused. It's okay and even important to set goals, but once you've set them, it's best to shift them to the back of your mind and focus not on whether you will achieve them but how.",12091.5595703125,,,,,1.02294278144836,3.28299999237061,,172,,145,165,,,0.837120431561575,79.47,8,39,9,6,0,0,0,,,,,,,,,,,,,,,
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-08-20,,,,,,,0.666666666666667,2.61166666666667,,,,,,,,,33.8,,,,,,,,,,,,,,,,,,,,,,5
RD4 (Depletion Run),Run,5:00 in Zone 1 2:15:00 in Zone 2,2.33333333333333,,2023-08-21,Today's Depletion Run is the last and longest you will do in this training program.,21347.8203125,,,,,2.10039520263672,2.82299995422363,,166,,151,170,,,0.734289944873762,127.78,9,25,58,34,0,0,0,,,,,,,,,,,,,,,7
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-22,"Train as the athlete you are today, not as the athlete you hope to be in the future.",10250.919921875,,,,,0.931017279624939,3.05800008773804,,168,,147,165,,,0.790120271228985,64.32,5,23,25,3,0,0,0,,,,,,,,,,,,,,,
RFR21 (Fartlek Run),Run,5:00 in Zone 1 15:00 in Zone 2 10 x 1:00 in Zone 4/2:00 in Zone 2 20:00 in Zone 1,1.16666666666667,,2023-08-23,One of the most common mistakes runners make when tapering for races is eliminating or cutting back too much on high intensity. The science is clear: Runners race better when their taper training includes judicious amounts of fast running.,13840.3584,,,,,1.12666666666667,3.40962711994638,,,,,,,,0.87,95,,,,,,,,,,,,,,,,,,,,,,
RF32 (Foundation Run),Run,5:00 in Zone 1 1:10:00 in Zone 2,1.25,,2023-08-24,"Coach Matt's Diet Quality Score (DQS) app is a simple, ease-to-use tool that helps athlete track and improve the overall quality of their diet. It's available in Android and iPhone versions. Consider downloading it if you are interested in improving your running by improving your diet.",11629.9599609375,,,,,0.954129159450531,3.38599991798401,,175,,151,171,,,0.873997210133899,80.72,8,13,15,20,1,0,0,,,,,,,,,,,,,,,1
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-08-25,"A 2018 study by French researchers found that a psychological measure called ""intention to finish"" was a strong predictor of whether runners actually did finish a 140-km ultramarathon. You might assume that every runner starts every race equally intent on finishing, but that's not really the case. Some are more determined than others, and the most determined are the most likely to complete the full distance. How strong is your intent to finish your upcoming event?",6904.39013671875,,,,,0.675339162349701,2.83999991416931,,169,,145,169,,,0.768483046493335,43.76,9,16,9,6,0,0,0,,,,,,,,,,,,,,,5
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-26,"When you reach peak fitness, it's tempting to want to ""keep the momentum"" going after your A race, continuing to train at a high level to maintain or even build on the fitness you've worked so hard to gain. Don't fall for it. If you want to be even fitter for your next race, the best thing you can do after this one is rest and then begin a fresh training cycle from the beginning.",3462.32006835938,,,,,0.306763082742691,3.13499999046326,,169,,151,161,,,0.819960781232398,22.22,0,3,14,1,0,0,0,,,,,,,,,,,,,,,
RMP6 (Marathon Pace Run),Run,1 km (0.6 mile) Zone 1 2 km (1.2 miles) in Zone 2 26 km (16.1 miles) @ MP 2 km (1.2 miles) in Zone 1,2.58472222222222,31000,2023-08-27,Approach today's Marathon Pace Run as a final dress rehearsal for your upcoming marathon.,42489.8984375,,,,,3.43806958198547,3.43300008773804,,179,,161,185,,,0.894155865548488,314.08,4,4,29,142,16,4,7,,,,,,,,,,,,,,,3
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-08-29,This is your last week with double-run days.,6920.1792,,,,,0.683333333333333,2.81308097560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-30,"Many runners gain a bit of weight when tapering for a race. To avoid this in your upcoming taper, reduce the size of meal portions by about 20 percent.",7744.56005859375,,,,,0.833660840988159,2.58100008964539,,166,,135,165,,,0.687010326360213,43.42,32,9,5,4,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-08-31,Make some time each day between now and your marathon to visualize the race. Try to make these mental rehearsals as real as possible. Imagine a challenging but ultimately successful experience.,10549.26953125,,,,,0.965526103973389,3.03500008583069,,169,,144,169,,,0.784708463321659,65.81,14,21,14,9,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-02,,6656.919921875,,,,,0.699706077575684,2.64299988746643,,166,,139,161,,,0.690146544340624,36.59,11,28,3,0,0,0,0,,,,,,,,,,,,,,,
RL31 (Long Run),Run,1 km (0.6 mile) Zone 1 22 km (13.6 miles) in Zone 2,2.04666666666667,23000,2023-09-03,"The hay is in the barn, as they say. You've done the work and built the fitness you'll need to have a successful race next week. Give yourself a pat on the back!",23013.859375,,,,,1.98358583450317,3.22300004959106,,173,,151,181,,,0.839515974301896,157.57,4,43,48,23,1,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-09-04,"You're about a week out from your marathon. If you train by pace, be sure to enter your result into the 80/20 Run Pace Zone Calculator to get updated training pace zones.",4634.93994140625,,,,,0.447139710187912,2.87899994850159,,165,,144,164,,,0.749261638951329,27.29,5,14,6,2,0,0,0,,,,,,,,,,,,,,,
RSS27 (Steady State Run),Run,5:00 in Zone 1 15:00 in Zone 2 1:00:00 in Zone X 20:00 in Zone 1,1.66666666666667,,2023-09-05,Today's Steady State Runs is the last and longest you will do in this training program.,20071.23046875,,,,,1.64825415611267,3.38299989700317,,174,,158,186,,,0.875635892594465,141.84,7,14,12,54,9,2,2,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-12,,8542.4697265625,,,,,0.674075841903687,3.51999998092651,,178,,160,176,,,0.912873918411599,61.6,3,4,2,21,10,1,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-13,,12278.6103515625,,,,,1.03765416145325,3.28699994087219,,174,,154,171,,,0.855409450856566,84.18,2,6,32,22,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-16,,13131.16015625,,,,,1.14328563213348,3.19000005722046,,165,,140,165,,,0.798583068055045,81.04,22,34,10,2,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-17,,9811.650390625,,,,,0.933165848255157,2.9210000038147,,167,,146,180,,,0.765198444815482,60.4,9,21,20,6,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-20,,10005.26953125,,,,,0.803743898868561,3.45799994468689,,170,,155,173,,,0.898523826497232,71.45,2,10,10,26,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-22,,11295.8603515625,,,,,0.871137738227844,3.60199999809265,,168,,147,181,,,0.907794990579406,79.38,10,15,13,13,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-23,,9209.23046875,,,,,0.735020279884338,3.48000001907349,,172,,153,169,,,0.881648536468985,62.85,2,10,16,16,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-24,,12884.419921875,,,,,1.00815033912659,3.54999995231628,,171,,155,174,,,0.859760425712693,82.63,4,12,12,27,6,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-25,,9399.919921875,,,,,0.814451992511749,3.20600008964539,,169,,147,165,,,0.823119938116382,60.86,5,20,20,5,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-09-28,,11081.6796875,,,,,1.01297187805176,3.03900003433228,,166,,141,167,,,0.797188407334257,71.42,17,30,12,2,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-02,,10037.3095703125,,,,,0.794293344020844,3.50999999046326,,170,,159,181,,,0.90994385942543,72.5,2,3,15,18,6,3,1,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-03,,15121.9404296875,,,,,1.21607136726379,3.4539999961853,,170,,155,178,,,0.880298696804412,104.88,4,11,22,33,2,2,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-06,,8101.06005859375,,,,,0.602216124534607,3.73699998855591,,176,,156,180,,,0.949522993126573,59.39,2,5,10,16,3,1,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-07,,5401,,,,,0.459498584270477,3.26500010490417,,169,,147,168,,,0.852054144660419,36.24,6,8,5,9,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-09,,14526.5595703125,,,,,1.11297857761383,3.62599992752075,,172,,151,176,,,0.914581161999226,103.44,6,16,24,18,3,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-10,,8368.8701171875,,,,,0.670936942100525,3.46499991416931,,171,,150,172,,,0.89183115638926,58.52,4,13,12,11,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-12,,8079.31005859375,,,,,0.696732759475708,3.22099995613098,,168,,142,162,,,0.818402890887849,51.25,9,20,12,1,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-14,,20078.060546875,,,,,1.62617659568787,3.4300000667572,,169,,156,175,,,0.870238823934011,138.07,4,12,32,47,3,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-17,,12884.9599609375,,,,,1.1483815908432,3.11700010299683,,168,,150,178,,,0.805256145689975,82.81,3,28,25,7,4,2,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-18,,10004.009765625,,,,,0.769367814064026,3.61199998855591,,180,,158,179,,,0.955942140768674,77.44,1,7,11,21,5,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-19,,10175.5595703125,,,,,0.883864998817444,3.19799995422363,,171,,150,165,,,0.844292680491746,69.6,2,20,23,8,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-21,,17619.689453125,,,,,1.51108062267303,3.23900008201599,,168,,144,163,,,0.833592254832909,117.53,16,44,27,4,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-23,,11956.900390625,,,,,1.03401279449463,3.21199989318848,,172,,145,169,,,0.837177460555113,80.38,3,51,4,5,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-25,,11635.66015625,,,,,0.913019120693207,3.53999996185303,,174,,158,186,,,0.902651529345601,82.22,4,7,9,28,2,3,2,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-26,,12974.1796875,,,,,1.11991274356842,3.21799993515015,,172,,147,164,,,0.842394839659873,88.29,2,35,26,4,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-27,,11278.23046875,,,,,0.968293070793152,3.23499989509583,,171,,147,166,,,0.834004936751739,74.58,2,34,19,3,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-30,,13738.08984375,,,,,1.1966552734375,3.18899989128113,,169,,141,156,,,0.811388783969843,87.69,16,48,7,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-10-31,,11412.6396484375,,,,,0.968429684638977,3.2739999294281,,170,,144,162,,,0.830380058727155,73.88,9,37,10,3,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-11-01,,6681.97021484375,,,,,0.56554502248764,3.28200006484985,,173,,154,177,,,0.860347303829125,45.72,5,6,8,9,5,2,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-11-02,,12878.900390625,,,,,1.07793164253235,3.31900000572205,,170,,147,167,,,0.836342210947536,83.62,4,33,22,5,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-11-03,,8208.5302734375,,,,,0.677494168281555,3.3659999370575,,176,,146,164,,,0.875907664590509,57.05,8,14,13,6,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-11-04,,9238.8203125,,,,,0.807614147663116,3.17799997329712,,171,,146,165,,,0.831567473679677,61.55,7,22,15,5,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-11-06,,16099.509765625,,,,,1.29194629192352,3.46199989318848,,173,,154,184,,,0.877672604753726,111,4,11,29,30,2,1,1,,,,,,,,,,,,,,,
Running,Run,,,,2023-11-07,,8156.9501953125,,,,,0.664471387863159,3.41000008583069,,176,,141,171,,,0.885988608464443,57.19,10,24,3,2,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-11-08,,14353.900390625,,,,,1.23471665382385,3.22900009155273,,171,,143,160,,,0.829408429683015,94.5,8,55,12,0,0,0,0,,,,,,,,,,,,,,,
